lemma_a,lemma_b
ABAISSANT,ABAISSER
ABASOURDISSANT,ABASOURDIR
ABERRANT,ABERRER
ABETISSANT,ABETIR
ABONDANT,ABONDER
ABONDE,ABONDER
ABOTE,ABOTER
ABOTTE,ABOTTER
ABOYANT,ABOYER
ABRUTISSANT,ABRUTIR
ABSORBANT,ABSORBER
ACCABLANT,ACCABLER
ACCAPARANT,ACCAPARER
ACCEDE,ACCEDER
ACCEPTANT,ACCEPTER
ACCIDENTE,ACCIDENTER
ACCOMMODANT,ACCOMMODER
ACCOMPAGNANT,ACCOMPAGNER
ACCUEILLANT,ACCUEILLIR
ACIDIFIANT,ACIDIFIER
ACOQUINANT,ACOQUINER
ADOPTANT,ADOPTER
ADORANT,ADORER
ADOUCISSANT,ADOUCIR
ADSORBANT,ADSORBER
AFFADISSANT,AFFADIR
AFFAIBLISSANT,AFFAIBLIR
AFFAMANT,AFFAMER
AFFLEURANT,AFFLEURER
AFFLIGEANT,AFFLIGER
AFFOLANT,AFFOLER
AFFRIOLANT,AFFRIOLER
AFRICANISANT,AFRICANISER
AGACANT,AGACER
AGGLOMERANT,AGGLOMERER
AGGLUTINANT,AGGLUTINER
AGGRAVANT,AGGRAVER
AGISSANT,AGIR
AGITANT,AGITER
AGONISANT,AGONISER
AGRANDISSANT,AGRANDIR
AGRIPPANT,AGRIPPER
AGUICHANT,AGUICHER
AHURISSANT,AHURIR
AIMANT,AIMER
ALARMANT,ALARMER
ALCALINISANT,ALCALINISER
ALIENANT,ALIENER
ALKYLANT,ALKYLER
ALLAITANT,ALLAITER
ALLANT,ALLER
ALLECHANT,ALLECHER
ALOURDISSANT,ALOURDIR
ALTERANT,ALTERER
ALTERNANT,ALTERNER
AMAIGRISSANT,AMAIGRIR
AMELIORANT,AMELIORER
AMINCISSANT,AMINCIR
AMINE,AMINER
AMNISTIANT,AMNISTIER
AMOLLISSANT,AMOLLIR
AMPLIFIANT,AMPLIFIER
AMUSANT,AMUSER
ANABOLISANT,ANABOLISER
ANALYSANT,ANALYSER
ANEMIANT,ANEMIER
ANESTHESIANT,ANESTHESIER
ANGOISSANT,ANGOISSER
ANKYLOSANT,ANKYLOSER
ANNIHILANT,ANNIHILER
ANOBLISSANT,ANOBLIR
APAISANT,APAISER
APEURANT,APEURER
APPAUVRISSANT,APPAUVRIR
APPELANT,APPELER
APPONTE,APPONTER
APPRENANT,APPRENDRE
APPROCHANT,APPROCHER
ARABISANT,ARABISER
ARBORISE,ARBORISER
ARCHAISANT,ARCHAISER
ARGUMENTE,ARGUMENTER
AROMATISANT,AROMATISER
ARRANGEANT,ARRANGER
ARRIVANT,ARRIVER
ASPHYXIANT,ASPHYXIER
ASPIRANT,ASPIRER
ASSAILLANT,ASSAILLIR
ASSEOIR,ASSOIR
ASSERVISSANT,ASSERVIR
